U235,UO2,Gd2O3,Boron,Water,Pitch,Kmax,Kmin
0.014070241,10.1174362,0.033528931,0.000111054,0.80142495,2.425737079,0.52139,0.52099
0.019811007,10.64822172,0.064824264,0.000412275,0.652720922,2.341464698,0.5227,0.52228
0.015987082,10.80357012,0.082803222,0.000672767,0.484525988,1.961695416,0.52286,0.52244
0.010672272,10.34288504,0.027989019,0.000954695,0.331479172,1.271150635,0.52377,0.52337
0.015790896,10.44180765,0.022899516,0.000692329,0.525624332,1.888372708,0.52393,0.52349
0.009825776,10.55688478,0.036423311,0.000301299,0.290930082,2.055327828,0.52408,0.52368
0.024574011,10.27737057,0.071706021,0.000958616,0.950686597,1.659850576,0.52417,0.52371
0.01384016,10.17365388,0.054265171,0.000879177,0.458420014,1.563960332,0.52613,0.52569
0.028149784,10.05770908,0.039478738,0.000551894,0.745497735,2.331679983,0.52663,0.52615
0.04495508,10.85955702,0.081470362,0.000880769,0.874238725,2.303143654,0.52754,0.52704
0.018172335,10.30102629,0.006771515,0.000973804,0.485804504,1.909846051,0.52885,0.52841
0.014844175,10.01244593,0.058957602,0.000866938,0.57653258,1.50472867,0.52972,0.5293
0.014360309,10.13277412,0.088396938,0.00079522,0.294352646,1.89860595,0.52982,0.52942
0.011331237,10.18939974,0.052866722,0.000332498,0.499408416,1.794166439,0.53142,0.531
0.012760547,10.23174864,0.062007732,0.000560004,0.030018974,2.330555302,0.53264,0.53224
0.011116492,10.85571439,0.001257672,0.000446926,0.872083158,1.625028874,0.53358,0.53314
0.027501448,10.94287677,0.046699789,0.000601748,0.611344811,2.49266276,0.5356,0.5351
0.021467406,10.65134131,0.008723132,0.000788657,0.488575285,2.240756211,0.53582,0.53536
0.007415559,10.92276446,0.01150437,7.45E-05,0.185881573,2.259933,0.53593,0.53553
0.011493294,10.24927413,0.054643106,0.000726524,0.252512218,1.442365336,0.53603,0.53563
0.017451153,10.40902477,0.083282704,0.000896549,0.286848918,2.177973133,0.53627,0.53591
0.012109036,10.3974811,0.004299369,0.000288021,0.654324455,1.979426066,0.53652,0.53608
0.044214191,10.82171835,0.022899973,0.000973974,0.934246852,2.145690463,0.53656,0.5361
0.014783567,10.39450231,0.071090405,0.000386098,0.84676487,1.743248507,0.5371,0.53668
0.014259568,10.83785826,0.07371972,0.00080362,0.314462503,1.898382751,0.53794,0.5375
0.009891676,10.11105128,0.084939339,0.000147251,0.370759836,2.028654169,0.53866,0.53824
0.038612586,10.41070378,0.089997192,0.000767816,0.66977911,2.477368854,0.5389,0.53842
0.024387409,10.90130889,0.04523125,0.000266569,0.003668907,1.260730352,0.54046,0.54014
0.015834113,10.62170497,0.055285537,0.00057306,0.811447152,1.639948626,0.541,0.54056
0.031843684,10.94739631,0.004623365,0.000930853,0.756411441,2.139415913,0.54115,0.54065
0.035795625,10.68448451,0.065518379,0.00085344,0.734449433,2.242310541,0.54129,0.54081
0.019577908,10.6324145,0.05641802,0.000323297,0.008118323,1.935954105,0.54181,0.54147
0.013885906,10.01685258,0.011364751,0.000338252,0.970090802,1.673393786,0.54218,0.54176
